sample,fastq_1,fastq_2
ERR10736384,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/084/ERR10736384/ERR10736384_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/084/ERR10736384/ERR10736384_2.fastq.gz
ERR10736385,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/085/ERR10736385/ERR10736385_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/085/ERR10736385/ERR10736385_2.fastq.gz
ERR10736386,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/086/ERR10736386/ERR10736386_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/086/ERR10736386/ERR10736386_2.fastq.gz
ERR10736387,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/087/ERR10736387/ERR10736387_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/087/ERR10736387/ERR10736387_2.fastq.gz
ERR10736388,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/088/ERR10736388/ERR10736388_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/088/ERR10736388/ERR10736388_2.fastq.gz
ERR10736389,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/089/ERR10736389/ERR10736389_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/089/ERR10736389/ERR10736389_2.fastq.gz
ERR10736390,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/090/ERR10736390/ERR10736390_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/090/ERR10736390/ERR10736390_2.fastq.gz
ERR10736391,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/091/ERR10736391/ERR10736391_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/091/ERR10736391/ERR10736391_2.fastq.gz
ERR10736392,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/092/ERR10736392/ERR10736392_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/092/ERR10736392/ERR10736392_2.fastq.gz
ERR10736393,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/093/ERR10736393/ERR10736393_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/093/ERR10736393/ERR10736393_2.fastq.gz
ERR10736394,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/094/ERR10736394/ERR10736394_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/094/ERR10736394/ERR10736394_2.fastq.gz
